z     eps_p     eps_z
0.000000 1.000001 1.000000
0.015748 1.000001 1.000000
0.031495 1.000001 1.000000
0.047243 1.000001 1.000000
0.062991 1.000000 1.000000
0.078739 1.000000 1.000000
0.094486 1.000000 1.000000
0.110234 0.999999 1.000000
0.125982 0.999999 1.000000
0.141729 0.999999 1.000000
0.157477 0.999999 1.000000
0.173225 0.999999 1.000000
0.188973 0.999999 1.000000
0.204720 1.000000 1.000000
0.220468 1.000000 1.000000
0.236216 1.000000 1.000000
0.251963 1.000001 1.000000
0.267711 1.000001 1.000000
0.283459 1.000001 1.000000
0.299207 1.000001 1.000000
0.314954 1.000001 1.000000
0.330702 1.000001 1.000000
0.346450 1.000001 1.000000
0.362198 1.000000 1.000000
0.377945 1.000000 1.000000
0.393693 1.000000 1.000000
0.409441 0.999999 1.000000
0.425188 0.999999 1.000000
0.440936 0.999999 1.000000
0.456684 0.999999 1.000000
0.472432 0.999999 1.000000
0.488179 0.999999 1.000000
0.503927 1.000000 1.000000
0.519675 1.000000 1.000000
0.535422 1.000000 1.000000
0.551170 1.000001 1.000000
0.566918 1.000001 1.000000
0.582666 1.000001 1.000000
0.598413 1.000001 1.000000
0.614161 1.000001 1.000000
0.629909 1.000001 1.000000
0.645656 1.000001 1.000000
0.661404 1.000000 1.000000
0.677152 1.000000 1.000000
0.692900 1.000000 1.000000
0.708647 0.999999 1.000000
0.724395 0.999999 1.000000
0.740143 0.999999 1.000000
0.755890 0.999999 1.000000
0.771638 0.999999 1.000000
0.787386 0.999999 1.000000
0.803134 1.000000 1.000000
0.818881 1.000000 1.000000
0.834629 1.000000 1.000000
0.850377 1.000001 1.000000
0.866124 1.000001 1.000000
0.881872 1.000001 1.000000
0.897620 1.000001 1.000000
0.913368 1.000001 1.000000
0.929115 1.000001 1.000000
0.944863 1.000001 1.000000
0.960611 1.000000 1.000000
0.976359 1.000000 1.000000
0.992106 1.000000 1.000000
1.007854 0.999999 1.000000
1.023602 0.999999 1.000000
1.039349 0.999999 1.000000
1.055097 0.999999 1.000000
1.070845 0.999999 1.000000
1.086593 0.999999 1.000000
1.102340 1.000000 1.000000
1.118088 1.000000 1.000000
1.133836 1.000000 1.000000
1.149583 1.000001 1.000000
1.165331 1.000001 1.000000
1.181079 1.000001 1.000000
1.196827 1.000001 1.000000
1.212574 1.000001 1.000000
1.228322 1.000001 1.000000
1.244070 1.000001 1.000000
1.259817 1.000000 1.000000
1.275565 1.000000 1.000000
1.291313 1.000000 1.000000
1.307061 0.999999 1.000000
1.322808 0.999999 1.000000
1.338556 0.999999 1.000000
1.354304 0.999999 1.000000
1.370051 0.999999 1.000000
1.385799 0.999999 1.000000
1.401547 1.000000 1.000000
1.417295 1.000000 1.000000
1.433042 1.000000 1.000000
1.448790 1.000001 1.000000
1.464538 1.000001 1.000000
1.480285 1.000001 1.000000
1.496033 1.000001 1.000000
1.511781 1.000001 1.000000
1.527529 1.000001 1.000000
1.543276 1.000001 1.000000
1.559024 1.000000 1.000000
1.574772 1.000000 1.000000
1.590519 1.000000 1.000000
1.606267 0.999999 1.000000
1.622015 0.999999 1.000000
1.637763 0.999999 1.000000
1.653510 0.999999 1.000000
1.669258 0.999999 1.000000
1.685006 0.999999 1.000000
1.700754 1.000000 1.000000
1.716501 1.000000 1.000000
1.732249 1.000000 1.000000
1.747997 1.000001 1.000000
1.763744 1.000001 1.000000
1.779492 1.000001 1.000000
1.795240 1.000001 1.000000
1.810988 1.000001 1.000000
1.826735 1.000001 1.000000
1.842483 1.000001 1.000000
1.858231 1.000000 1.000000
1.873978 1.000000 1.000000
1.889726 0.999999 1.000000
1.905474 0.999999 1.000000
1.921222 0.999999 1.000000
1.936969 0.999999 1.000000
1.952717 0.999999 1.000000
1.968465 0.999999 1.000000
1.984212 0.999999 1.000000
1.999960 1.000000 1.000000
2.015708 1.000000 1.000000
2.031456 1.000000 1.000000
2.047203 1.000001 1.000000
2.062951 1.000001 1.000000
2.078699 1.000001 1.000000
2.094446 1.000001 1.000000
2.110194 1.000001 1.000000
2.125942 1.000001 1.000000
2.141690 1.000001 1.000000
2.157437 1.000000 1.000000
2.173185 1.000000 1.000000
2.188933 0.999999 1.000000
2.204680 0.999999 1.000000
2.220428 0.999999 1.000000
2.236176 0.999999 1.000000
2.251924 0.999999 1.000000
2.267671 0.999999 1.000000
2.283419 0.999999 1.000000
2.299167 1.000000 1.000000
2.314915 1.000000 1.000000
2.330662 1.000000 1.000000
2.346410 1.000001 1.000000
2.362158 1.000001 1.000000
2.377905 1.000001 1.000000
2.393653 1.000001 1.000000
2.409401 1.000001 1.000000
2.425149 1.000001 1.000000
2.440896 1.000001 1.000000
2.456644 1.000000 1.000000
2.472392 1.000000 1.000000
2.488139 0.999999 1.000000
2.503887 0.999999 1.000000
2.519635 0.999999 1.000000
2.535383 0.999999 1.000000
2.551130 0.999999 1.000000
2.566878 0.999999 1.000000
2.582626 0.999999 1.000000
2.598373 1.000000 1.000000
2.614121 1.000000 1.000000
2.629869 1.000000 1.000000
2.645617 1.000001 1.000000
2.661364 1.000001 1.000000
2.677112 1.000001 1.000000
2.692860 1.000001 1.000000
2.708607 1.000001 1.000000
2.724355 1.000001 1.000000
2.740103 1.000001 1.000000
2.755851 1.000000 1.000000
2.771598 1.000000 1.000000
2.787346 0.999999 1.000000
2.803094 0.999999 1.000000
2.818841 0.999999 1.000000
2.834589 0.999999 1.000000
2.850337 0.999999 1.000000
2.866085 0.999999 1.000000
2.881832 0.999999 1.000000
2.897580 1.000000 1.000000
2.913328 1.000000 1.000000
2.929076 1.000000 1.000000
2.944823 1.000001 1.000000
2.960571 1.000001 1.000000
2.976319 1.000001 1.000000
2.992066 1.000001 1.000000
3.007814 1.000001 1.000000
3.023562 1.000001 1.000000
3.039310 1.000001 1.000000
3.055057 1.000000 1.000000
3.070805 1.000000 1.000000
3.086553 0.999999 1.000000
3.102300 0.999999 1.000000
3.118048 0.999999 1.000000
3.133796 0.999999 1.000000
3.149544 0.999999 1.000000
3.165291 0.999999 1.000000
3.181039 0.999999 1.000000
3.196787 1.000000 1.000000
3.212534 1.000000 1.000000
3.228282 1.000000 1.000000
3.244030 1.000001 1.000000
3.259778 1.000001 1.000000
3.275525 1.000001 1.000000
3.291273 1.000001 1.000000
3.307021 1.000001 1.000000
3.322768 1.000001 1.000000
3.338516 1.000001 1.000000
3.354264 1.000000 1.000000
3.370012 1.000000 1.000000
3.385759 0.999999 1.000000
3.401507 0.999999 1.000000
3.417255 0.999999 1.000000
3.433002 0.999999 1.000000
3.448750 0.999999 1.000000
3.464498 0.999999 1.000000
3.480246 0.999999 1.000000
3.495993 1.000000 1.000000
3.511741 1.000000 1.000000
3.527489 1.000000 1.000000
3.543236 1.000001 1.000000
3.558984 1.000001 1.000000
3.574732 1.000001 1.000000
3.590480 1.000001 1.000000
3.606227 1.000001 1.000000
3.621975 1.000001 1.000000
3.637723 1.000001 1.000000
3.653471 1.000000 1.000000
3.669218 1.000000 1.000000
3.684966 0.999999 1.000000
3.700714 0.999999 1.000000
3.716461 0.999999 1.000000
3.732209 0.999999 1.000000
3.747957 0.999999 1.000000
3.763705 0.999999 1.000000
3.779452 0.999999 1.000000
3.795200 1.000000 1.000000
3.810948 1.000000 1.000000
3.826695 1.000001 1.000000
3.842443 1.000001 1.000000
3.858191 1.000001 1.000000
3.873939 1.000001 1.000000
3.889686 1.000001 1.000000
3.905434 1.000001 1.000000
3.921182 1.000001 1.000000
3.936929 1.000001 1.000000
3.952677 1.000000 1.000000
3.968425 1.000000 1.000000
3.984173 0.999999 1.000000
3.999920 0.999999 1.000000
4.015668 0.999999 1.000000
4.031416 0.999999 1.000000
4.047163 0.999999 1.000000
4.062911 0.999999 1.000000
4.078659 0.999999 1.000000
4.094407 1.000000 1.000000
4.110154 1.000000 1.000000
4.125902 1.000001 1.000000
4.141650 1.000001 1.000000
4.157397 1.000001 1.000000
4.173145 1.000001 1.000000
4.188893 1.000001 1.000000
4.204641 1.000001 1.000000
4.220388 1.000001 1.000000
4.236136 1.000001 1.000000
